Timestamp,Bife de Frango grelhado,Iscas de frango,Lombo suino,Sobrecoxa de frango,Bife bovino acebolado,File de peixe empanado,Bife bovino grelhado,File de frango a milanesa,Carne bovina assada,Fricasse de frango,Carne moida,Iscas de carne,Lagarto,Peixe frito,Cubos bovinos,Alho,Chimichirri,Mostarda,Rose,Pimenta,Agridoce,Alecrim com limao,Vinagrete,Ervas,Mostarda e mel,Polenta,Pure de Batata,Legumes saute,Moranga refogada,Macarrao ao Pesto de Manjericao,Macarrao ao molho vermelho,Macarrao com alho e acafrao,Caponata de beringela,Batata Palha,Doce,Fruta
4/23/2024 20:16:34,7,6,8,9,8,3,7,10,9,6,4,5,6,3,6,,,,,,,,,,,5,8,3,2,6,7,7,3,9,10,6
4/23/2024 20:17:56,8,7,7,10,8,0,7,8,7,6,0,3,6,0,2,10,8,8,10,2,8,0,1,0,6,0,7,10,8,5,5,5,6,9,10,5
4/23/2024 20:22:38,7,,6,9,8,8,,6,,2,5,5,,9,4,8,6,,7,6,10,,,,8,,9,,8,,,9,,10,10,7
4/23/2024 20:22:53,10,7,8,8,8,5,8,10,7,10,5,7,8,5,6,6,7,8,8,5,5,8,7,8,8,7,8,9,5,10,10,10,5,8,10,8
4/23/2024 20:40:04,8,6,9,8,9,6,7,8,5,4,2,1,7,5,5,4,8,9,9,5,6,2,9,6,9,8,7,6,5,9,7,7,7,10,10,8
4/23/2024 20:42:40,10,8,7,10,5,2,4,8,9,10,2,3,7,2,1,10,6,10,10,10,5,6,5,5,1,6,10,6,4,7,9,8,1,10,10,6
4/24/2024 8:39:35,10,8,8,3,7,6,8,5,7,9,10,0,5,6,5,6,5,8,8,4,5,0,3,5,7,9,9,8,5,10,10,10,5,10,7,7
4/24/2024 18:10:39,10,9,8,9,7,9,8,10,8,8,7,5,,,8,,,,,,,,,,,7,8,,,10,10,10,,10,,
4/25/2024 8:43:49,8,7,6,3,10,5,9,8,8,7,3,0,,6,0,6,8,8,10,4,3,4,10,4,3,0,5,,2,0,7,,0,10,10,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M̩dia,8.666666667,7.25,7.444444444,7.666666667,7.777777778,4.888888889,7.25,8.111111111,7.5,6.888888889,4.222222222,3.222222222,6.5,4.5,4.111111111,7.142857143,6.857142857,8.5,8.857142857,5.142857143,6,3.333333333,5.833333333,4.666666667,6,5.25,7.888888889,7,4.875,7.125,8.125,8.25,3.857142857,9.555555556,9.625,5.875
Desvio,3.741657387,2.738612788,2.867441756,7.745966692,3.944053189,8.055363982,3.937003937,4.988876516,3.464101615,7.673909622,8.459051694,7.039570694,2.34520788,7.348469228,7.40870359,5.554920599,2.976095237,1.870828693,2.976095237,6.071008389,5.656854249,7.302967433,7.799572638,5.944184833,7.211102551,9.137833441,4.109609335,5.656854249,6.072478901,9.212762886,4.987484336,4.847679857,6.391959235,2.054804668,2.80624304,6.846531969